crop_name,days,stage,irrigation,irrigation_type,fertilizer_type,fertilizer_dosage,diseases,control_action,labour,notes
Broccoli,100,Seedling & Transplanting,Yes,Drip,Starter NPK,25:20:20 kg/ha at transplanting,"Root rot, Cutworms",Neem cake; use raised beds; install traps,20,Transplant after 25–30 days in nursery; maintain moist soil
Broccoli,100,Vegetative Growth,Yes,Drip or Sprinkler,NPK + Micronutrients,30:20:20 kg/ha + Boron/Zn if deficient,"Downy mildew, Aphids",Fungicide for mildew; neem oil or insecticide for aphids,35,Perform light weeding and earthing up at 30 days
Broccoli,100,Head Formation,Yes,Drip,NPK Top Dressing,20:20:20 kg/ha,Black rot,Remove infected plants; use certified seeds,40,Avoid overhead irrigation during head formation
Broccoli,100,Maturity & Harvesting,No,Rainfed or Natural,–,–,Post-harvest rot,Handle heads carefully; store in cool place,30,Harvest when heads are firm and green; delay can cause flowering
Tea,1095,Land Preparation & Planting,Yes,Drip/Basin,FYM + Basal NPK,10 tons FYM/ha + 30:90:90 kg/ha NPK,"Root rot, damping off",Use well-drained raised beds; Trichoderma for nursery,60,New plantations only; mature tea bushes last decades with proper pruning and care
Tea,1095,Vegetative Growth (Bush development),Yes,Drip or Sprinkler,NPK (Split dose) + Micronutrients,20:40:40 kg/ha split monthly,"Blister blight, Red rust",Copper oxychloride spray; shade trees help reduce infection,80,Maintain bush shape via tipping and light pruning; mulching improves soil moisture
Tea,1095,Plucking Phase (Harvesting leaves),Yes,Drip,Foliar spray of NPK,1% NPK foliar spray every 15days,"Tea mosquito bug, Helopeltis",Spray neem-based pesticides; alternate chemical sprays to avoid resistance,150–200 ,Multiple flushes per year (7–9 rounds); quality depends on regular and skilled plucking
Tea,1095,Rejuvenation Pruning,No,Rainfed,FYM + Dolomite,5 tons FYM + 500 kg dolomite/ha,Wood rot after pruning,Prune in dry season; apply Bordeaux paste on cuts,30,Done every 4–6 years to restore yield; avoid rainy season pruning
Tea,1095,Maintenance & Weed Control,Yes,Drip or Manual,"Mulching, Intercropping legumes",–,Collar rot,Maintain clean field; remove weeds by hand,40,Shade management important; use green manure crops to enrich soil
Lettuce,75,Land Preparation & Sowing,Yes,Sprinkler or Drip,FYM + Starter NPK,10 tons FYM/ha + 40:20:20 kg/ha NPK,Damping off,Use well-drained seedbeds; seed treatment with Trichoderma,20,"Cool season crop; prefers loose, well-drained loamy soil"
Lettuce,75,Seedling & Transplanting,Yes,Drip,NPK (Basal dose),20:10:10 kg/ha NPK,Root rot,Avoid overwatering; maintain spacing,15,Transplant at 20–25 days age; spacing ~20×30 cm
Lettuce,75,Vegetative Growth,Yes,Drip or Sprinkler,NPK (Top dressing) + Micronutrients,20:10:10 kg/ha + Boron/Zn if needed,"Leaf spot, Aphids",Spray neem oil; avoid wetting leaves too much,25,Avoid nutrient deficiency; uniform watering needed
Lettuce,75,Head Formation,Yes,Drip,Foliar NPK,1% NPK foliar spray once in 10 days,Downy mildew,Use copper fungicide or mancozeb if symptoms appear,30,Avoid overhead irrigation to prevent fungal diseases
Lettuce,75,Maturity & Harvesting,No,Rainfed (if possible),–,–,Post-harvest decay,Harvest in morning; store in cool shaded place,20,Harvest when heads are firm; delays cause bitterness
Pomegranate,730,Land Preparation & Planting,Yes,Drip,FYM + Starter NPK,10 tons FYM/ha + 50:25:25 kg/ha NPK,"Root rot, Wilt",Use raised beds; apply Trichoderma; avoid water stagnation,60,"Prefer loamy, well-drained soil; plant in square system with 4×4 m spacing"
Pomegranate,730,Vegetative Growth & Training,Yes,Drip,NPK + Micronutrients,150:50:50 kg/plant/year in 2 split doses,"Leaf spot, Rust",Spray mancozeb or chlorothalonil; pruning improves airflow,90,Training into single or double stem; remove suckers regularly
Pomegranate,730,Flowering & Fruit Setting,Yes,Drip,NPK + Boron & Zinc (Micros),50:25:25 kg/ha + foliar micronutrients,"Flower drop, Fruit borer",Spray neem oil or emamectin benzoate; avoid water stress during flowering,70,Crucial phase for yield; provide consistent irrigation and avoid pruning
Pomegranate,730,Fruit Development,Yes,Drip,Potash-rich fertilizer,25:0:50 kg/ha,"Fruit cracking, Bacterial blight",Maintain proper moisture; use Bordeaux spray,100,Apply mulch to retain soil moisture; avoid excess nitrogen
Pomegranate,730,Maturity & Harvesting,No,Rainfed (if possible),–,–,Post-harvest rot,Harvest carefully; dry fruits before storage,60,Harvest when fruit color deepens and gives metallic sound on tap
Cumin,120,Land Preparation & Sowing,Yes,Sprinkler/Drip,FYM + Basal NPK,10 tons FYM/ha + 20:30:20 kg/ha NPK,"Seed rot, Damping off",Treat seeds with Trichoderma; use raised beds for sowing,30,Well-drained sandy loam soil ideal; sowing in Nov–Dec in rabi season
Cumin,120,Vegetative Growth,Yes,Drip,NPK (Split dose),10:20:10 kg/ha in 2 splits,Powdery mildew,Dust sulfur or spray wettable sulfur,20,Avoid waterlogging; intercultural operations important
Cumin,120,Flowering Stage,Yes,Drip or Furrow,NPK + Micronutrients,5:10:10 kg/ha + Foliar Zn/Boron,"Blight, Aphids",Use Mancozeb for blight; neem oil for aphids,25,Irrigation at flowering is critical for seed set
Cumin,120,Seed Formation,Yes,Drip,Light Potash,5:0:15 kg/ha,Alternaria blight,Alternate spraying with Carbendazim & Mancozeb,20,Stop irrigation once seed heads start drying
Cumin,120,Maturity & Harvesting,No,Rainfed / Dryland,–,–,Post-harvest seed decay,Harvest in dry conditions; clean and sun-dry seeds properly,30,Harvest when seeds turn brown and detach easily from umbels
Radish,60,Land Preparation & Sowing,Yes,Sprinkler or Furrow,FYM + Basal NPK,10 tons FYM/ha + 40:20:20 kg/ha NPK,Seed rot,Seed treatment with Trichoderma; avoid overwatering,20,"Sow directly in rows; prefers loose, well-drained sandy loam soil"
Radish,60,Germination & Early Growth,Yes,Sprinkler,NPK (Starter dose),20:10:10 kg/ha,Damping off,"Good drainage, thin seedlings if too dense",15,Maintain moisture till germination; germinates in 4–6 days
Radish,60,Root Development,Yes,Drip or Furrow,NPK + Micronutrients,20:10:20 kg/ha + Boron if deficient,"Root cracking, Aphids",Uniform watering; neem oil for aphids,20,Most crucial stage; uneven watering causes cracked roots
Radish,60,Maturity & Harvesting,No,Rainfed / Natural,–,–,Root rot if left too long,Harvest on time; avoid excessive moisture,20,Harvest when roots are 12 cm long; delay reduces quality and taste
Apple,1826,Land Preparation & Planting,Yes,Basin or Drip,FYM + Basal NPK,20–25 tons FYM/ha + 100:75:75 g/plant,"Collar rot, Root rot",Apply Trichoderma; avoid planting in waterlogged soil,70,Requires cool-temperate climate; spacing 4×4 m; ideal pH: 6.0–6.5
Apple,1826,Vegetative Growth,Yes,Drip,NPK + Micronutrients,500:250:250 g NPK/plant/year (split in 3 doses),"Scab, Powdery mildew",Spray Carbendazim or Sulfur fungicides,90,Annual pruning required to shape and remove weak branches
Apple,1826,Flowering & Fruit Set,Yes,Drip or Rainfed,"Boron, Zinc (foliar)",0.2% Boron + 0.5% Zinc sulfate foliar spray,"Apple scab, Fire blight",Copper fungicides for scab; sanitation; remove infected blossoms,60,Flowering in Feb–Mar (India); pollination aided by bees
Apple,1826,Fruit Development,Yes,Drip,Potash-rich + Foliar NPK,200 g MOP + foliar 1% NPK every 15 days,"Fruit rot, Codling moth",Use pheromone traps; spray safe pesticides,80,Thinning (removing excess fruits) improves size and quality
Apple,1826,Maturity & Harvesting,No,Rainfed / Natural,–,–,Post-harvest diseases,Harvest dry; store in cool room; dip in fungicide if needed,100,Harvest in August–October depending on variety; use crates to prevent bruising
Pear,1461,Land Preparation & Planting,Yes,Basin or Drip,FYM + Basal NPK,20–25 tons FYM/ha + 90:70:70 g/plant,"Root rot, Collar rot",Use raised beds; treat pits with Trichoderma and lime,60,"Plant during dormant season (Dec–Jan); prefers loamy, well-drained soil"
Pear,1461,Vegetative Growth,Yes,Drip,NPK + Micronutrients,500:250:250 g/plant/year split in 2 doses,"Leaf spot, Fire blight",Copper fungicide or streptomycin spray,80,Pruning is essential for air circulation and shape
Pear,1461,Flowering & Fruit Set,Yes,Drip or Rainfed,Foliar Boron & Zinc,0.2% Boron + 0.5% Zinc sulfate foliar spray,Blossom blight,Remove infected flowers; avoid excess nitrogen,50,Cross-pollination needed; keep bee activity high for good fruit set
Pear,1461,Fruit Development,Yes,Drip,Potash-rich + Foliar NPK,200 g MOP + 1% NPK foliar spray every 15 days,"Fruit drop, Codling moth",Use pheromone traps; spray Dimethoate or neem oil,70,Fruit thinning helps improve fruit size and shape
Pear,1461,Maturity & Harvesting,No,Rainfed / Natural,–,–,Post-harvest rot,Harvest dry fruits; cold storage or fungicide dip recommended,90,Harvest when fruits turn yellow-green and seeds turn brown; handle carefully
plum,1095,nursery,yes,manual/drip,"FYM, starter NPK",10kg FYM + 100g NPK per plant,"root rot, damping-off","well-drained beds, Trichoderma, soil solarization",15,Grown in raised beds or polybags; transplant after 6months
plum,1095,vegetative,yes,drip/surface,NPK + micronutrients,"250g NPK/year + Zn, B foliar spray","aphids, leaf spot","neem oil, systemic insecticide, remove infected leaves",15,Proper pruning is essential; avoid waterlogging
plum,1095,flowering,yes,drip/surface,nitrogen-rich fertilizer,300g N + micro-spray,"blossom blight, rust","copper fungicide, pruning of infected branches",low to medium,Ensure cross-pollination; bees are important
plum,1095,fruiting,yes,drip,balanced NPK,500g NPK split dose,"brown rot, plum curculio","fungicides (brown rot), insect traps/sprays (curculio)",20,Thin fruits for better quality; protect from birds & pests
plum,1095,post-harvest,no,rainfed or skip,compost/FYM,20kg FYM or compost,—,—,medium (pruning),"Apply mulch, clean orchard, prune after harvest"
litchi,1825,nursery,yes,manual/drip,"FYM, starter NPK",10kg FYM + 100g NPK per seedling,"damping-off, root rot","raised beds, fungicide seed treatment, soil sterilization",15,Grow in polybags or raised nursery beds; transplant after 12 months
litchi,1825,vegetative,yes,drip/surface,NPK + micronutrients,"250g NPK/year + Zn, Fe foliar spray","leaf curl, mite attack","neem oil, sulfur spray, pruning",15,Requires regular pruning and weed removal
litchi,1825,flowering,yes,drip/surface,N-rich + boron spray,300g N + boron + Zn foliar spray,"blossom blight, sooty mould","copper fungicide, remove infected branches",low to medium,"Needs hot, dry weather during flowering for good fruit set"
litchi,1825,fruiting,yes,drip,balanced NPK + Ca & Mg,500g NPK + calcium-magnesium supplements,"fruit cracking, anthracnose","regular irrigation, fungicide spray, maintain humidity",20,Fruits prone to cracking if dry; thin fruits if clustered
litchi,1825,post-harvest,no,rainfed or skip,"compost, FYM",20–25kg compost/FYM per tree,—,—,medium (pruning),"Mulching, sanitation, prepare for dormancy and next season"
orange,1825,nursery,yes,manual/drip,"FYM, starter NPK",10kg FYM + 100g NPK per plant,"damping-off, collar rot","well-drained beds, fungicide treatment, neem cake",15,Grown in polybags or nursery beds; transplant at 1 year
orange,1825,vegetative,yes,drip/surface,NPK + micronutrients,"300g NPK/year + Zn, B foliar spray","citrus canker, aphids","copper spray (canker), neem oil or systemic insecticide for aphids",15,Regular pruning and inter-cultural operations needed
orange,1825,flowering,yes,drip/surface,nitrogen-rich + micronutrients,"400g N + B, Zn spray","flower drop, fungal leaf spot","use GA₃ spray for flower retention, fungicide for leaf spot",15,Avoid over-irrigation during flowering; bees help in pollination
orange,1825,fruiting,yes,drip,balanced NPK + Ca & Mg,500–600g NPK + lime or gypsum if needed,"fruit drop, black spot, psylla","Bordeaux mixture, pheromone traps, neem/chemical spray",20,Fruit thinning may improve size and quality
orange,1825,post-harvest,no,rainfed or skip,"FYM, compost",25–30kg FYM/compost per tree,—,—,medium (pruning),"Mulch to retain moisture, remove diseased branches, apply compost"
pineapple,540,planting,yes,manual/drip,"FYM, starter NPK",20t FYM/ha + 4g NPK/plant (basal),"root rot, nematodes","soil treatment with neem cake, raised beds",15,Propagated using suckers or slips; spacing: 25–30 cm apart
pineapple,540,vegetative,yes,drip/surface,nitrogen-rich + micronutrients,6g N + 4g P + 6g K/plant in 3 splits,"mealybugs, leaf spot","insecticide (mealybug), Bordeaux mixture for fungal issues",15,Earthing up required to stabilize plants
pineapple,540,pre-flowering,yes,drip,NPK + ethrel (flower induction),NPK as above + 25 ppm ethrel spray,bud rot,"copper oxychloride spray, proper drainage",15,Flower induction done using ethrel or calcium carbide
pineapple,540,fruiting,yes,drip,potash-rich + micronutrients,6g K + Zn + Mg foliar sprays,"fruit rot, black heart","maintain spacing, avoid water stagnation, clean mulching",20,Fruit ready in 5–6 months after flowering; maintain uniform ripening
pineapple,540,post-harvest,no,rainfed or skip,"compost, mulch",5–10kg compost/plant,—,—,medium (clearing),"Remove suckers for next crop, retain 1–2 for ratoon crop"
peach,1095,nursery,yes,manual/drip,"FYM, starter NPK",10kg FYM + 100g NPK per plant,"damping-off, root rot","Raised beds, fungicide drench, neem cake",15,Seedlings or grafted plants; transplant after 10months
peach,1095,vegetative,yes,drip/surface,NPK + micronutrients,"300g NPK/year + Zn, B foliar spray","leaf curl, aphids","neem oil, sulfur spray, systemic insecticide",15,Requires annual pruning and good canopy management
peach,1095,flowering,yes,drip/surface,nitrogen-rich + boron,400g N + foliar boron and zinc,"blossom blight, brown rot","copper fungicide, pruning infected parts",low to medium,Needs chilling hours; avoid excess irrigation during bloom
peach,1095,fruiting,yes,drip,balanced NPK + Ca + Mg,500g NPK split + CaMg foliar,"fruit rot, leaf spot","fungicide sprays, fruit bagging, field sanitation",20,Thin fruits to avoid overcrowding; harvest in 90–120 days post bloom
peach,1095,post-harvest,no,rainfed or skip,"FYM, compost",20–25kg FYM/compost per tree,—,—,medium (pruning),"Prune for shape, apply mulch, prepare for dormancy"
cherry,1460,nursery,yes,manual/drip,"FYM, starter NPK",10–12kg FYM + 100g NPK per plant,"damping-off, root rot","Raised beds, fungicide drench, well-drained nursery soil",15,Propagated via grafting or seedlings; transplant at 10months
cherry,1460,vegetative,yes,drip/surface,NPK + micronutrients,"300g NPK/year + Zn, Fe, B foliar spray","aphids, powdery mildew","neem oil, sulfur spray, pruning",15,Requires good canopy development; cold-tolerant stage
cherry,1460,flowering,yes,drip/surface,nitrogen-rich + micronutrients,400g N + foliar B and Zn,"blossom blight, brown rot","copper fungicide, pruning of infected shoots",low to medium,Needs 700–1000 chilling hours; cross-pollination enhances yield
cherry,1460,fruiting,yes,drip,balanced NPK + Ca & Mg,"500g NPK split + foliar Ca, Mg","cherry fruit fly, black knot","pheromone traps, insecticides, sanitation",20,Fruits are delicate; harvesting must be gentle to avoid bruising
cherry,1460,post-harvest,no,rainfed or skip,"FYM, compost",25–30kg FYM/compost per tree,—,—,medium (pruning),"Prune for shape, remove dead wood, prepare for dormancy"
tapioca,300,planting,yes,manual/sprinkler,"FYM, basal NPK",12.5t FYM/ha + 25:50:50 NPK kg/ha (basal),"stem rot, root borer",Treat cuttings with fungicide/insecticide before planting,15,Grown via stem cuttings; spacing ~90×90 cm
tapioca,300,vegetative,yes,rainfed/sprinkler,N-rich + micronutrients,Top dressing: 25kg N/ha at 45–60 DAP,"mosaic virus, scale insects","Remove infected plants, neem oil spray, resistant varieties",15,Good weed control essential during early growth
tapioca,300,tuber formation,yes,rainfed,balanced NPK + K,25kg K/ha during bulking phase,bacterial blight,"Avoid injury, use clean tools, copper fungicides",15,Ensure good drainage to avoid tuber rot
tapioca,300,harvesting,no,rainfed,compost,5–10kg compost/plant post-harvest (for ratoon),—,—,20,Harvest at 8months after planting when leaves start yellowing
tapioca,300,post-harvest,no,rainfed,"green manure, FYM",Grow green manure crops or apply 10t FYM/ha,—,—,15,Land can be prepared for next cycle or rotated with legumes
cardamom,1095,nursery,yes,manual/sprinkler,"compost, FYM, starter NPK",10kg compost + 50g NPK per plant,"damping-off, leaf spot","raised beds, Trichoderma, well-drained nursery soil",15,Grown from seeds or suckers; transplant at 10months
cardamom,1095,vegetative,yes,sprinkler/drip,NPK + micronutrients,"75:75:150 kg NPK/ha/year + Zn, B foliar sprays","rhizome rot, leaf streak","copper oxychloride, neem oil, drainage management",15,"Needs partial shade, cool humid climate"
cardamom,1095,flowering,yes,drip/sprinkler,nitrogen-rich + K,Extra N (urea) + potash for spike development,"capsule rot, thrips","fungicide sprays, remove affected spikes, insecticides for thrips",20,Starts flowering 2nd–3rd year; continuous flowering pattern
cardamom,1095,fruiting,yes,drip,balanced NPK + organic matter,NPK as above + compost/green manure,"shoot borer, fungal infections","pheromone traps, neem-based sprays, systemic fungicides",very high,Harvesting is manual & frequent (every 30–45 days for months)
cardamom,1095,post-harvest,yes,sprinkler,"compost, mulch, FYM",15–20kg compost/FYM per clump + mulching,—,—,medium (cleaning),"Remove old shoots, apply mulch, maintain shade trees"
jackfruit,1460,nursery,yes,manual/drip,"FYM, starter NPK",10kg FYM + 100g NPK per plant,"damping-off, root rot","soil sterilization, Trichoderma, neem cake",15,Seedlings/grafts raised in bags; transplant at ~12 months
jackfruit,1460,vegetative,yes,drip/surface,NPK + micronutrients,"250g NPK/year + Zn, B foliar spray","leaf spot, scale insects","neem oil, Bordeaux mixture, regular pruning",15,Strong framework development and staking required
jackfruit,1460,flowering,yes,drip,nitrogen-rich + organic matter,300g N + FYM + micronutrient foliar,"anthracnose, mealybugs","copper fungicide, neem oil spray",15,Flowering begins in 3rd year; separate male and female flowers
jackfruit,1460,fruiting,yes,drip,balanced NPK + Ca & Mg,"500–600g NPK per tree/year + Ca, Mg foliar","fruit rot, borer, stem bleeding","clean harvesting, soil drainage, wound dressing, insecticide for borers",20,Large fruits; support fruit-bearing branches
jackfruit,1460,post-harvest,no,rainfed or skip,"FYM, compost, mulch",25–30kg FYM/compost per tree,—,—,medium (cleaning),"Remove debris, apply mulch, prune excess branches"
Jute,120,Land preparation,yes,surface/furrow,FYM (Farm Yard Manure),5tons/ha,,"Plough field, remove weeds",Medium,Requires well-drained loamy soil
Jute,120,Sowing,yes,surface/furrow,Starter dose NPK,20:10:10 kg/ha,Seedling rot,Use treated seeds with Carbendazim,Medium,Best sown before monsoon (March–May)
Jute,120,Vegetative growth,yes,surface/furrow,Urea (Nitrogen),40 kg/ha after 30 days,Hoar leaf spot,Spray Mancozeb @ 2g/L of water,High,Needs weeding after 20–25 days
Jute,120,Flowering,yes,surface/furrow,Micronutrients (if needed),Foliar spray (as per deficiency),Stem rot,"Maintain spacing, avoid waterlogging",Medium,Usually begins ~90 days from sowing
Jute,120,Harvesting,no,rainfed,,,,"Cut at base, bundle and soak for retting",High,Retting process takes 10 days in slow running water
Bitter Gourd,120,Land preparation,yes,furrow/surface,FYM (Farm Yard Manure),15tons/ha,,"Deep ploughing, remove weeds",Medium,Requires well-drained sandy loam soil with pH 6.0–6.7
Bitter Gourd,120,Sowing,yes,furrow/surface,Basal dose (NPK),25:25:25 kg/ha,Seed rot,"Use fungicide-treated seeds, sow in raised beds",Medium,Direct seed sowing or transplanting in warm season (Feb–June)
Bitter Gourd,120,Vegetative growth,yes,furrow/surface,Nitrogen & Micronutrients,Top dressing of 30–40 kg N/ha,Downy mildew,Spray Mancozeb @ 2g/L water every 10 days,High,Training of vines on trellis required
Bitter Gourd,120,Flowering,yes,furrow/surface,Potassium-rich fertilizer,Foliar spray or 20 kg/ha as per soil test,Powdery mildew,Spray wettable sulfur @ 2g/L water,High,Start pollination activities; hand pollination may improve yield
Bitter Gourd,120,Fruiting,yes,furrow/surface,Micronutrient booster,Foliar spray once in 10 days,"Fruit fly, Mosaic virus","Use pheromone traps, remove infected plants, apply Neem extract",High,"Harvest starts ~60 days, continue harvesting every 2 days"
Bitter Gourd,120,Harvesting,no,rainfed (if any),,,,"Gentle harvest, avoid fruit damage",High,"Multiple pickings (10–12), based on maturity"
Ashwagandha,180,Land preparation,yes,furrow/surface,FYM (Farm Yard Manure),10 tons/ha,,"Deep ploughing, remove weeds",Medium,"Grows well in sandy loam with good drainage, pH 7.5–8.0"
Ashwagandha,180,Sowing,yes,surface/furrow,Starter NPK,20:20:20 kg/ha,Seed rot,Use Trichoderma seed treatment before sowing,Low,Direct sowing in June–July (Kharif) preferred
Ashwagandha,180,Germination,yes,surface/furrow,Light irrigation,Once every 7days,Damping-off,"Avoid overwatering, apply fungicide if needed",Low,"Germination starts in 10 days, thinning needed"
Ashwagandha,180,Vegetative growth,yes,surface/furrow,Nitrogen (Top dressing),20–30 kg N/ha after 30 days,"Leaf spot, Root rot",Neem oil spray; avoid water stagnation,Medium,"Plant develops branches, keep field weed-free"
Ashwagandha,180,Maturity,yes,surface/furrow,None (no more fertilization),,Wilt,"Remove infected plants, maintain field hygiene",Low,Plants mature after 150–170 days
Ashwagandha,180,Harvesting,no,rainfed,,,,"Harvest whole plant, clean roots, dry in shade",Medium to High,Roots are the main economic part; harvest in December–January
Grapefruit,1826,Land preparation,yes,drip/surface,FYM + lime (if acidic soil),20–30 tons/ha + 1 ton lime (if needed),,"Deep ploughing, add organic matter",Medium,Prefers well-drained sandy loam; pH 5.5–6.5
Grapefruit,1826,Planting,yes,drip preferred,Starter NPK,"200g N, 100g P, 100g K per plant","Root rot, Collar rot",Use Trichoderma in pits; good drainage essential,Medium,Plant in pits (1x1m) during June–July or Feb–March
Grapefruit,1826,Vegetative growth,yes,drip,NPK + micronutrients,"Monthly 50g N, 25g P, 25g K + foliar micronutrients","Leaf miner, Aphids",Neem oil spray; pruning infected branches,High,Prune suckers; provide support to young plants
Grapefruit,1826,Flowering (spring),yes,drip,Phosphorus-rich,60g P per plant at pre-flowering,Citrus canker,Copper oxychloride spray before and after flowering,Medium,Occurs in spring; irrigation crucial for flower retention
Grapefruit,1826,Fruit development,yes,drip,Potassium + calcium,80g K and 40g Ca per plant,"Fruit drop, Anthracnose",Spray Gibberellic acid (GA3); use Bordeaux mixture,High,"Mulch base, thin fruits if too dense"
Grapefruit,1826,Harvesting,yes,drip/rainfed,,,,"Hand-pick mature fruits, avoid bruising",High,Fruits mature in ~8–9 months after flowering
Cowpea,90,Land preparation,yes,furrow/surface,FYM + basal NPK,5tons FYM/ha + 20:40:20 kg NPK/ha,,"2 deep ploughings, remove weeds",Medium,Grows well in sandy loam; pH 6.0–7.0
Cowpea,90,Sowing,yes,furrow/surface,Seed treatment + starter dose,Rhizobium + PSB culture; 20:40:20 kg/ha,"Seed rot, damping-off",Treat seeds with Thiram or Trichoderma,Low,Best sown in Kharif (June–July) or summer (Feb–March)
Cowpea,90,Germination,yes,furrow/surface,,,Root rot,Avoid waterlogging; light irrigation,Low,Emergence within 3–5 days; thinning needed after 10 days
Cowpea,90,Vegetative growth,yes,furrow/surface,Top dressing Nitrogen,20 kg N/ha at 25–30 days,"Leaf spot, aphids",Spray Neem oil; remove infected leaves,Medium,Weeding and earthing up needed
Cowpea,90,Flowering,yes,furrow/surface,Micronutrients (optional),"Foliar spray (Zn, B) if deficiency observed",Powdery mildew,Wettable sulfur spray @ 2g/L,Medium,Flowering starts ~35–40 days from sowing
Cowpea,90,Pod formation,yes,furrow/surface,Organic booster (vermicompost),1–2 tons/ha top dressing,"Pod borer, rust","Use pheromone traps, neem extracts",High,"Pods form in clusters, requires monitoring"
Cowpea,90,Harvesting,no,rainfed (if any),,,,Hand-picking of dry pods or full plant if fodder use,High,Multiple harvests possible; dry under shade
Lathyrus,110,Land preparation,no,rainfed,FYM,5tons/ha,,One ploughing and harrowing is sufficient,Low,Ideal for low-input rainfed areas; drought-tolerant
Lathyrus,110,Sowing,no,rainfed,Starter NPK,20:40:20 kg/ha (if residual nutrients low),"Seed rot, Damping-off",Treat seeds with Thiram or Trichoderma,Low,Usually relay sown after rice; no till required
Lathyrus,110,Germination,no,rainfed,,,,"Maintain good drainage, proper seed rate (~40–50 kg/ha)",Low,Germination occurs in 5–7 days
Lathyrus,110,Vegetative growth,no,rainfed,Biofertilizer (Rhizobium),Seed treatment or soil inoculation,"Leaf spot, aphids",Neem oil spray; avoid overcrowding,Medium,Grows well in residual soil moisture; no extra water needed
Lathyrus,110,Flowering,no,rainfed,,,Powdery mildew,Spray sulfur @ 2g/L water,Medium,Begins around 50–60 DAS; critical for pod setting
Lathyrus,110,Pod formation,no,rainfed,Organic booster (optional),1–2 tons vermicompost if soil is poor,"Pod borer, rust",Use neem extract or bio-pesticides,Medium,Pods form quickly; sensitive to excess water
Lathyrus,110,Harvesting,no,rainfed,,,,Harvest when pods dry; uproot entire plant,High,Very low cost crop; can be stored for seeds or fodder
Lathyrus,110,Land preparation,no,rainfed,FYM,5tons/ha,,One ploughing and harrowing is sufficient,Low,Ideal for low-input rainfed areas; drought-tolerant
Lathyrus,110,Sowing,no,rainfed,Starter NPK,20:40:20 kg/ha (if residual nutrients low),"Seed rot, Damping-off",Treat seeds with Thiram or Trichoderma,Low,Usually relay sown after rice; no till required
Lathyrus,110,Germination,no,rainfed,,,,"Maintain good drainage, proper seed rate (~40–50 kg/ha)",Low,Germination occurs in 5–7 days
Lathyrus,110,Vegetative growth,no,rainfed,Biofertilizer (Rhizobium),Seed treatment or soil inoculation,"Leaf spot, aphids",Neem oil spray; avoid overcrowding,Medium,Grows well in residual soil moisture; no extra water needed
Lathyrus,110,Flowering,no,rainfed,,,Powdery mildew,Spray sulfur @ 2g/L water,Medium,Begins around 50–60 DAS; critical for pod setting
Lathyrus,110,Pod formation,no,rainfed,Organic booster (optional),1–2 tons vermicompost if soil is poor,"Pod borer, rust",Use neem extract or bio-pesticides,Medium,Pods form quickly; sensitive to excess water
Lathyrus,110,Harvesting,no,rainfed,,,,Harvest when pods dry; uproot entire plant,High,Very low cost crop; can be stored for seeds or fodder
Hazelnut,1461,Land preparation,yes,drip/surface,FYM + lime (if acidic),15tons FYM/ha + lime based on soil pH,,"Deep tilling, add organic matter",Medium,Needs well-drained loamy soil; pH 6.0–7.5
Hazelnut,1461,Planting,yes,drip,Starter NPK,60:40:40 g/plant (Year 1),Root rot,"Use well-drained site, treat pit with Trichoderma",Medium,Best planted in dormant season (Dec–Feb)
Hazelnut,1461,Vegetative growth,yes,drip,NPK + micronutrients,"Gradual increase yearly (e.g., 100:50:80 g)","Leaf spot, aphids",Neem oil or soap spray; prune regularly,High,Suckering is common; remove basal shoots regularly
Hazelnut,1461,Flowering (winter),yes,drip,Phosphorus-rich + boron,60g P + foliar boron spray,Eastern filbert blight,"Prune infected branches, use copper fungicide",Medium,Male (catkins) and female flowers form in winter
Hazelnut,1461,Nut development,yes,drip,Potassium + calcium + zinc,"100g K, 50g Ca, foliar Zn","Nut weevil, caterpillars","Use pheromone traps, neem oil, spinosad",High,Fruit/nut development begins in spring and matures by late summer
Hazelnut,1461,Harvesting,no,rainfed,,,,Collect fallen nuts; shake tree manually if needed,High,Harvest in September–October depending on region
Almond,1905,Land preparation,yes,drip/surface,FYM + lime (if acidic soil),15tons FYM/ha + 1 ton lime (if needed),,"Deep tillage, ensure proper drainage",Medium,Grows best in well-drained loamy soil; pH 6.5–8.0
Almond,1905,Planting,yes,drip,Basal NPK,60:40:40 g/plant (1st year),Root rot,Treat pits with Trichoderma + proper drainage,Medium,Plant in dormant season (Dec–Feb); spacing ~6x6m
Almond,1905,Vegetative growth,yes,drip,NPK + micronutrients,Increase yearly: up to 200:100:150 g/plant,"Aphids, Leaf curl",Spray Neem oil or insecticidal soap; prune diseased branches,High,Regular pruning helps structure and airflow
Almond,1905,Flowering (late winter),yes,drip,Phosphorus + boron,60g P + foliar boron spray,Blossom blight,Use copper oxychloride pre-bloom,Medium,Flowers in late winter; requires chilling hours for proper bloom
Almond,1905,Fruit development,yes,drip,Potassium + calcium + zinc,100g K + foliar Ca & Zn,"Fruit rot, Shot hole","Maintain spacing, spray Bordeaux mixture",High,Fruit matures by summer; fruit thinning may be needed
Almond,1905,Harvesting,no,rainfed,,,,"Shake tree, collect and dry nuts",High,Harvest in late summer (August–September)
Lime,1461,Land preparation,yes,furrow/drip,FYM + lime (if acidic soil),20 tons FYM/ha + lime based on soil test,,"Deep ploughing, add organic matter",Medium,Requires well-drained sandy loam soil; pH 5.5–7.5
